Model,Best_Params,Training_Time,MAE,RMSE,MAPE,R2
LSTM,"{'lr': 0.0002348989727391831, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.4845255481981475}",8.516689539,0.45887938,0.6375117,191.7064786,-0.066936521
BiLSTM,"{'lr': 0.0001769491617051279, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.19126659900001927}",4.851860046,0.46845463,0.6281721,218.6997175,-0.041091901
GRU,"{'lr': 0.00016174309060453042, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.2844063239052131}",10.82495832,0.40692505,0.5773207,152.0217419,0.114333099
CNN-LSTM,"{'lr': 0.0007670754879480245, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.45662365542057437, 'kernel_size': 6}",10.58066607,0.55777425,0.7292627,233.6865902,-0.376194546
TCN,"{'lr': 0.0001194083144338387, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.4128241581617552, 'kernel_size': 4, 'channel_0': 38}",9.066823483,0.3454634,0.45283103,140.73596,0.476782385
Transformer,"{'lr': 0.0008264528431866567, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.2998996740464698, 'num_heads': 2}",10.54140019,0.4102688,0.5543874,167.0503497,0.22651303
XGBoost,"{'lr': 0.0009660921072004212, 'num_layers': 1, 'hidden_units': 64, 'dropout': 0.10231931673687825}",0,1.1017395,1.5430008,368.7341452,-5.243115119
CNN,"{'lr': 0.00014608584059816424, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.3190537547911211, 'kernel_size': 7, 'channel_0': 230}",6.192111254,0.2662687,0.39483282,100.8872747,0.620078546
LSTM,"{'lr': 0.0002900305696217855, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.49178977510869326}",10.72134757,0.5282545,0.88916785,159.6945047,0.218198317
BiLSTM,"{'lr': 0.003229959750402967, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.36806812284714185}",9.751000881,0.36174285,0.61619157,161.7105722,0.625186943
GRU,"{'lr': 0.00039889579810731783, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.14867839435108043}",13.65860939,0.33630428,0.5335985,190.8489585,0.715440399
CNN-LSTM,"{'lr': 0.0009565352808866475, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.3608262177757636, 'kernel_size': 4}",10.53555489,0.5708551,0.9333338,241.0082817,0.136926118
TCN,"{'lr': 0.0001866105835145015, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.23579408124880263, 'kernel_size': 4, 'channel_0': 208}",8.203029633,0.40957713,0.7077971,173.1293321,0.507572414
Transformer,"{'lr': 0.0002706837358156498, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.1091087064551378, 'num_heads': 8}",8.381158352,0.5569353,0.9416074,223.0201721,0.122067811
XGBoost,"{'lr': 0.002525587088257026, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.2745189640954283}",0,0.99884397,1.3286241,982.5879097,-0.739093822
CNN,"{'lr': 0.0003956532591659762, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.2270982222230143, 'kernel_size': 4, 'channel_0': 150}",5.961567402,0.4151748,0.7317217,161.1122131,0.472549087
LSTM,"{'lr': 0.004271454765582737, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.26730699564995974}",5.047119141,0.5284214,0.6318872,129.8295259,0.465248023
BiLSTM,"{'lr': 0.0035645926224159913, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.2621534569525999}",9.216392994,0.20864485,0.305227,87.09583282,0.867510062
GRU,"{'lr': 0.002975473188543954, 'num_layers': 2, 'hidden_units': 128, 'dropout': 0.13705042678960658}",5.995121956,0.2125463,0.32440394,123.1677175,0.854180687
CNN-LSTM,"{'lr': 0.004010615001219636, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.4148494208401877, 'kernel_size': 9}",7.391836643,0.46344534,0.5919191,202.9829979,0.499143858
TCN,"{'lr': 0.000261066406743803, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.1772184458226244, 'kernel_size': 3, 'channel_0': 115}",5.730382442,1.0536493,1.4652249,307.1369886,-1.774143465
Transformer,"{'lr': 0.00025535533385725366, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.40867044797181207, 'num_heads': 4}",6.027848482,0.3879528,0.54828936,127.329278,0.62077696
XGBoost,"{'lr': 0.0008077930152819669, 'num_layers': 3, 'hidden_units': 256, 'dropout': 0.3835891942584041}",0,1.4266524,1.650648,433.6001396,-2.72300754
CNN,"{'lr': 0.00020338025551305336, 'num_layers': 3, 'hidden_units': 32, 'dropout': 0.2630640507431073, 'kernel_size': 5, 'channel_0': 185, 'channel_1': 160, 'channel_2': 172}",7.530812502,0.91379577,1.1118042,264.3372774,-0.657959281
LSTM,"{'lr': 0.0008757602383612546, 'num_layers': 3, 'hidden_units': 256, 'dropout': 0.4015142389875733}",11.19505024,0.37425974,0.48056754,205.2042484,-0.410867099
BiLSTM,"{'lr': 0.0009336354658182075, 'num_layers': 3, 'hidden_units': 128, 'dropout': 0.28751290691106324}",10.48942971,0.35600695,0.45907828,194.9454308,-0.274667862
GRU,"{'lr': 0.00015779325585121414, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.4185701780927017}",6.895109177,0.2956828,0.38481364,298.7540483,0.164072903
CNN-LSTM,"{'lr': 0.000962161740310096, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.1747376104379929, 'kernel_size': 7}",8.463042259,0.66058415,0.87560135,449.7313023,-4.321317834
TCN,"{'lr': 0.0005839094182790269, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.47241905388692673, 'kernel_size': 5, 'channel_0': 74}",6.079449177,0.36581898,0.47947615,236.5073681,-0.321227926
Transformer,"{'lr': 0.004914552145981241, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.1694976109903022, 'num_heads': 2}",6.171942234,0.4119306,0.5414853,188.9557958,-0.716861026
XGBoost,"{'lr': 0.0012338687470256984, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.4736238866043351}",0,1.3071755,1.5881972,644.3765163,-17.13576724
CNN,"{'lr': 0.008929388473627918, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.19752856127444518, 'kernel_size': 3, 'channel_0': 126}",4.188552141,0.3390981,0.453517,262.5041485,-0.152395258
LSTM,"{'lr': 0.00752680852917529, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.3181801418035315}",7.590671778,0.6327557,0.7820633,119.3474531,0.115164218
BiLSTM,"{'lr': 0.0011567427668043597, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.48474038267422126}",13.70451021,0.56129766,0.72171223,99.78315234,0.244947501
GRU,"{'lr': 0.0005032327922377491, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.42144613163068023}",7.264808893,0.50320643,0.61466646,84.42872763,0.456152493
CNN-LSTM,"{'lr': 0.003049495294851662, 'num_layers': 1, 'hidden_units': 64, 'dropout': 0.479536983324662, 'kernel_size': 8}",8.933200598,0.6132679,0.76690876,93.69741082,0.151430531
TCN,"{'lr': 0.00487851924592052, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.1303982287199147, 'kernel_size': 6, 'channel_0': 241, 'channel_1': 238}",14.31721687,0.72192615,0.9355359,129.9312472,-0.274905561
Transformer,"{'lr': 0.00012466360891688893, 'num_layers': 3, 'hidden_units': 128, 'dropout': 0.40634684802573084, 'num_heads': 4}",22.35434842,0.67921686,0.83497524,138.7537599,-0.008552591
XGBoost,"{'lr': 0.0001550521086125467, 'num_layers': 1, 'hidden_units': 64, 'dropout': 0.4231767775899833}",0,1.5220093,1.7535198,254.5385122,-3.311150331
CNN,"{'lr': 0.0033236739524485316, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.4305148466575178, 'kernel_size': 7, 'channel_0': 134}",5.941028357,0.76622885,0.9435699,202.2445917,-0.252358881
LSTM,"{'lr': 0.0008495770299564905, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.1563303026719557}",6.890746593,0.66429394,0.80580914,138.2202983,0.018692656
BiLSTM,"{'lr': 0.0033601614318692795, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.2155948167207459}",8.294115782,0.37611106,0.4583697,101.6591549,0.681972964
GRU,"{'lr': 0.00036577790704258835, 'num_layers': 3, 'hidden_units': 256, 'dropout': 0.36488171669713665}",14.46821856,0.27814075,0.36928603,101.2023687,0.798122461
CNN-LSTM,"{'lr': 0.0006803541254834903, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.12085934454773213, 'kernel_size': 7}",6.10517478,0.5356304,0.64644855,236.1827612,0.373730362
TCN,"{'lr': 0.0011931571322179747, 'num_layers': 1, 'hidden_units': 64, 'dropout': 0.24261042254819035, 'kernel_size': 3, 'channel_0': 51}",7.516613245,1.6231833,2.0424547,517.6267147,-5.341018058
Transformer,"{'lr': 0.0007743380546718128, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.42411685592870885, 'num_heads': 8}",16.61305666,1.3591002,1.6153674,482.4092865,-2.965728072
XGBoost,"{'lr': 0.0002564048205893957, 'num_layers': 3, 'hidden_units': 128, 'dropout': 0.4706323794178776}",0,1.6356529,1.8342708,592.1205044,-4.112888412
CNN,"{'lr': 0.00028702046538752526, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.15071454836062026, 'kernel_size': 6, 'channel_0': 154, 'channel_1': 36}",7.211810112,0.799084,1.0107187,158.6498618,-0.546087787
LSTM,"{'lr': 0.00032218035573104584, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.13205129500219226}",6.854634523,0.3843182,0.5024536,143.8495278,0.708932131
BiLSTM,"{'lr': 0.00019224484858070543, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.2768047074626106}",7.990268707,0.39585567,0.4971167,179.0857911,0.719122211
GRU,"{'lr': 0.00010975671926271117, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.3060283920522652}",8.830838919,0.34332457,0.44986156,147.2502708,0.769028938
CNN-LSTM,"{'lr': 0.0009310762774506813, 'num_layers': 1, 'hidden_units': 64, 'dropout': 0.48134408228340053, 'kernel_size': 7}",8.479925156,0.39112043,0.4962499,166.0999298,0.71578796
TCN,"{'lr': 0.00013877385436250137, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.264841003592194, 'kernel_size': 3, 'channel_0': 229}",4.658243179,0.3386055,0.4453459,188.6832118,0.773928946
Transformer,"{'lr': 0.00010352367089977968, 'num_layers': 3, 'hidden_units': 64, 'dropout': 0.42571048410045165, 'num_heads': 4}",37.31647873,0.4088606,0.51017714,200.9371281,0.704063248
XGBoost,"{'lr': 0.00832417065131413, 'num_layers': 3, 'hidden_units': 64, 'dropout': 0.3587837776374839}",0,1.3101605,1.5435442,620.8408833,-1.692737945
CNN,"{'lr': 0.00017514702191064624, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.19781760584537234, 'kernel_size': 7, 'channel_0': 128}",5.447400808,0.32579973,0.4169655,173.7470031,0.80303778
LSTM,"{'lr': 0.00040757909461946074, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.42084153909499034}",7.77754426,0.7261172,0.88069904,147.8604555,-0.296900432
BiLSTM,"{'lr': 0.00029136497848233233, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.10982640681172269}",5.854397297,0.7856715,0.9387166,172.7095962,-0.492985469
GRU,"{'lr': 0.0001312206062464936, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.35317984267769875}",7.278289795,0.68452066,0.82971144,171.0165143,-0.075593983
CNN-LSTM,"{'lr': 0.00028608908349412205, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.4035457505327835, 'kernel_size': 5}",10.71393776,0.61591786,0.7813175,119.2246079,-0.016283014
TCN,"{'lr': 0.0004465711073489819, 'num_layers': 2, 'hidden_units': 128, 'dropout': 0.3254312255382044, 'kernel_size': 5, 'channel_0': 216, 'channel_1': 82}",14.20897794,1.450504,1.9596494,324.9803305,-4.569406084
Transformer,"{'lr': 0.00011103493562651037, 'num_layers': 1, 'hidden_units': 64, 'dropout': 0.2934913808945883, 'num_heads': 4}",18.95351505,1.2798499,1.566799,296.572876,-3.3686015
XGBoost,"{'lr': 0.00021010389109556382, 'num_layers': 2, 'hidden_units': 64, 'dropout': 0.4677070141372601}",0,1.5110369,1.7826169,344.3853617,-4.288474456
CNN,"{'lr': 0.0013867053867834963, 'num_layers': 3, 'hidden_units': 128, 'dropout': 0.16387100140622984, 'kernel_size': 5, 'channel_0': 121, 'channel_1': 211, 'channel_2': 68}",11.3503952,1.018608,1.2520276,204.4722795,-1.467123002
